Course Code,Course Name,Instructor,Credits,Slot,Classroom,Location,Slot Schedule,Label,School,For the Students,Additional Info
ME620,MODELLING AND SIMULATION,DR. MOHAMMAD TALHA,3,E,A5-2,South Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",6,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
MT201,PHYSICS OF SOLIDS,DR. VISWANATH BALAKRISHNAN,3,A,A17-1D,North Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",2,SMME,"B. Tech (MSE) DC Courses, MSE","B. Tech (MSE) DC Courses, MSE"
MT202,APPLIED QUANTUM MECHANICS,DR. SUDHIR KUMAR PANDEY,3,C,A13-2D,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",2,SMME,"B. Tech (MSE) DC Courses, MSE","B. Tech (MSE) DC Courses, MSE"
MT203,MATERIALS SYNTHESIS AND CHARACTERIZATION,DR. RIK RANI KONER,4,B,A13-2C,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",2,SMME,"B. Tech (MSE) DC Courses, MSE","B. Tech (MSE) DC Courses, MSE"
MT301,PHASE TRANSFORMATIONS,DR. SANDEEP SAHU,3,B,A10-1A,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",3,SMME,"B. Tech (MSE) DC Courses, MSE","B. Tech (MSE) DC Courses, MSE"
MT302,TRANSPORT PHENOMENA,DR. SARTHAK NAG,3,D,A17-1E,North Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",3,SMME,"B. Tech (MSE) DC Courses, MSE","B. Tech (MSE) DC Courses, MSE"
MT303,COMPUTATIONAL MATERIALS SCIENCE,DR. DUBE DHEERAJ PRAKASHCHAND,4,E,A10-2C,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",3,SMME,"B. Tech (MSE) DC Courses, MSE","B. Tech (MSE) DC Courses, MSE"
MT304,MECHANICAL BEHAVIOR OF MATERIALS,DR. SANDEEP SAHU,4,F,A10-2C,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",3,SMME,B. Tech (MSE) DC Courses,B. Tech (MSE) DC Courses
MT502,RECYCLING AND CIRCULAR ECONOMY,DR. NEHA SHUKLA,3,F,CL-4,South Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",5,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
MT503,SEMICONDUCTOR MATERIALS AND DEVICES,DR. RANBIR SINGH,3,G,CL-4,South Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
MT505,THIN FILM TECHNOLOGY,DR. BUKKE RAVINDRA NAIK,3,C,CL-3,South Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SMME,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
MT506,BIOMATERIALS,DR. JASPREET KAUR RANDHAWA,A,,,,Unknown Slot,,,DE for SMME Students and Free  Elective for others,DE for SMME Students and Free  Elective for others
PH001,PREPARATORY PHYSICS-1,DR. RAVINDRA KUMAR YADAV,4,E,A5-3,South Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",0,SPS,Preparatory students,
PH301,QUANTUM MECHANICS AND APPLICATION,DR. HARI VARMA R,3,B,A10-2A,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",3,SPS,EP 3 Sem,B. Tech (Engineering Physics) DC Courses
PH508,MAGNETISM AND MAGNETIC MATERIALS,DR. KAUSTAV MUKHERJEE,3,G,A5-3,South Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,SPS,M.Sc. Any Semester,
PH511,MATHEMATICAL PHYSICS,DR. KRISHNA MOHAN PARATTU,4,C,A5-2,South Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SPS,M.Sc. 1st year,M. Sc (Physics) DC Courses
PH512,CLASSICAL MECHANICS,DR. PRASANTH P. JOSE,4,B,CL-1,South Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",5,SPS,M.Sc. 1st year,M. Sc (Physics) DC Courses
PH513,QUANTUM MECHANICS,DR. AMAL SARKAR,3,E,A5-1,South Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",5,SPS,M.Sc. 1st year,M. Sc (Physics) DC Courses
PH514,ELECTRONICS,DR. TANUSHREE ROY,3,A,A5-1,South Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",5,SPS,M.Sc. 1st year,M. Sc (Physics) DC Courses
PH515P,PHYSICS LABORATORY,DR. BINDU RADHAMANY,4,,,,Unknown Slot,,,M.Sc. 1st year,M. Sc (Physics) DC Courses
PH518P,POST GRADUATE PROJECT -I,DR. ARKO ROY,3,,,,Unknown Slot,,,MSc Physics,DC Core for MSc Physics
PH525P,ELECTRONICS LAB. PRACT.,DR. BINDU RADHAMANY,3,,,,Unknown Slot,,,EP 5 Sem,B. Tech (Engineering Physics) DC Courses
